  BackData           22 unsigned char
  NumLost             0 unsigned short
  BackPeriod        361 unsigned short
  NumInterrupts  556822 unsigned long
  ForeData           12 unsigned char
  ForeExpected       12 unsigned char
  Errors           4676 unsigned short
+ _TIOS             <1> volatile TIOSSTR
+ _TSCR1            <1> volatile TSCR1STR
+ _TSCR2            <1> volatile TSCR2STR
+ _PACTL            <1> volatile PACTLSTR
+ _TIE              <1> volatile TIESTR
+ _TC0              <2> volatile TC0STR
+ _TCNT             <2> volatile TCNTSTR
- timeBuf         <200> array[100] of unsigned short
   [0]                0 unsigned short
   [1]              465 unsigned short
   [2]              305 unsigned short
   [3]                0 unsigned short
   [4]              529 unsigned short
   [5]              774 unsigned short
   [6]              977 unsigned short
   [7]             1046 unsigned short
   [8]             1273 unsigned short
   [9]             1337 unsigned short
   [10]            1519 unsigned short
   [11]            1654 unsigned short
   [12]            1831 unsigned short
   [13]            1927 unsigned short
   [14]            1988 unsigned short
   [15]            2239 unsigned short
   [16]            2349 unsigned short
   [17]            2535 unsigned short
   [18]            2647 unsigned short
   [19]            2733 unsigned short
   [20]            2943 unsigned short
   [21]            3055 unsigned short
   [22]            3141 unsigned short
   [23]            3351 unsigned short
   [24]            3463 unsigned short
   [25]            3573 unsigned short
   [26]            3759 unsigned short
   [27]            3871 unsigned short
   [28]            4024 unsigned short
   [29]            4279 unsigned short
   [30]            4375 unsigned short
   [31]            4500 unsigned short
   [32]            4687 unsigned short
   [33]            4783 unsigned short
   [34]            4895 unsigned short
   [35]            5005 unsigned short
   [36]            5192 unsigned short
   [37]            5304 unsigned short
   [38]            5400 unsigned short
   [39]            5446 unsigned short
   [40]            5521 unsigned short
   [41]            5721 unsigned short
   [42]            5946 unsigned short
   [43]            6190 unsigned short
   [44]            6358 unsigned short
   [45]            6468 unsigned short
   [46]            6654 unsigned short
   [47]            6754 unsigned short
   [48]            6966 unsigned short
   [49]            7076 unsigned short
   [50]            7262 unsigned short
   [51]            7406 unsigned short
   [52]            7574 unsigned short
   [53]            7670 unsigned short
   [54]            7764 unsigned short
   [55]            7982 unsigned short
   [56]            8078 unsigned short
   [57]            8151 unsigned short
   [58]            8390 unsigned short
   [59]            8486 unsigned short
   [60]            8555 unsigned short
   [61]            8798 unsigned short
   [62]            8894 unsigned short
   [63]            8985 unsigned short
   [64]            9206 unsigned short
   [65]            9302 unsigned short
   [66]            9440 unsigned short
   [67]            9614 unsigned short
   [68]            9710 unsigned short
   [69]            9822 unsigned short
   [70]            9916 unsigned short
   [71]           10118 unsigned short
   [72]           10230 unsigned short
   [73]           10326 unsigned short
   [74]           10573 unsigned short
   [75]               0 unsigned short
